storm_event_id,storm_date,storm_name,storm_event_type,storm_issues,storm_location,storm_duration,daily_total_rainfall,rainfall_rate,total_snowfall,wind_speed
SW0390,1/18/2015 06:00 AM,Winter Storm Event,Winter Weather,Freezing Precipitation,"Bronx, Manhattan, Queens",1 day,,0.01-1,,1-20
SW0391,1/24/2015 12:00 AM,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",1 day,0.01-0.99,0.01-1,0.01-5.99,1-20
SW0392,1/26/2015 08:00 AM,"January 2015 North American Blizzard ""Winter Storm Juno""",Winter Weather,"High Winds, Heavy Snow","Bronx, Brooklyn, Manhattan, Staten Island, Queens",1 day,0.01-0.99,0.01-1,12+,21-40
SW0393,1/30/2015 06:00 PM,High Wind Event,Winter Weather,High Winds,Queens,"21 hours, 55 minutes",,,0.01-5.99,21-40
SW0394,2/1/2015 09:00 PM,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Brooklyn, Bronx",1 day,1-1.99,0.01-1,0.01-5.99,
SW0395,2/2/2015 12:00 AM,Winter Storm Event,Winter Weather,Heavy Snow,"Bronx, Brooklyn, Manhattan, Queens",1 day,1-1.99,0.01-1,0.01-5.99,
SW0396,2/13/2015 12:51 AM,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx","2 days, 21 hours",0.01-0.99,0.01-1,0.01-5.99,21-40
SW0398,2/21/2015 12:00 AM,"Light Snow, Ice Event",Winter Weather,Freezing Precipitation,"Bronx, Brooklyn, Manhattan, Staten Island, Queens",1 day,0.01-0.99,0.01-1,0.01-5.99,21-40
SW0399,3/1/2015 12:00 AM,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Manhattan, Brooklyn, Bronx",1 day,0.01-0.99,0.01-1,6-11.99,1-20
SW0400,3/5/2015 12:00 AM,Winter Storm Event,Winter Weather,Heavy Snow,"Bronx, Brooklyn, Manhattan, Staten Island, Queens","2 days, 15 hours",0.01-0.99,0.01-1,6-11.99,21-40
SW0402,4/2/2015 12:00 AM,High Wind Event,Thunderstorms,"High Winds, Flash Flooding",Queens,3 days,2-2.99,2-3,,21-40
SW0404,5/31/2015 12:00 AM,"Heavy Rain, Flash Flood Event",Thunderstorms,Flash Flooding,"Queens, Staten Island",1 day,2-2.99,1-2,,1-20
SW0405,6/23/2015 12:00 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day,0.01-0.99,0.01-1,,1-20
SW0406,6/28/2015 12:00 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,"Queens, Staten Island, Bronx, Brooklyn, Manhattan",1 day,0.01-0.99,0.01-1,,1-20
SW0407,7/1/2015 12:00 AM,"Heavy Rain, Flash Flood Event",Thunderstorms,"Flash Flooding, High Winds","Manhattan, Brooklyn, Bronx, Staten Island, Queens",1 day,0.01-0.99,0.01-1,,1-20
SW0408,8/4/2015 12:00 AM,High Wind Event,Thunderstorms,"High Winds, Flash Flooding","Queens, Staten Island, Bronx, Brooklyn, Manhattan",1 day,2-2.99,2-3,,
SW0410,8/21/2015 02:00 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,8 hours,2-2.99,1-2,,1-20
SW0414,1/9/2016 12:00 AM,"High Wind, Coastal Flood Event",Winter Weather,"Coastal Flooding, High Winds","Queens, Staten Island, Brooklyn","1 day, 19 hours",2-2.99,0.01-1,,1-20
SW0415,1/22/2016 02:00 AM,"January 2016 Blizzard ""Winter Storm Jonas""",Winter Weather,"High Winds, Heavy Snow, Coastal Flooding","Brooklyn, Bronx, Manhattan, Staten Island, Queens","1 day, 20 hours",2-2.99,0.01-1,12+,21-40
SW0416,2/8/2016 06:00 AM,"February 2016 Snow Event ""Winter Storm Mars""",Winter Weather,Coastal Flooding,Queens,"1 day, 5 hours",0.01-0.99,0.01-1,0.01-5.99,1-20
SW0417,2/16/2016 10:57 AM,High Wind Event,Winter Weather,High Winds,"Queens, Manhattan","1 day, 1 hour",1-1.99,0.01-1,,21-40
SW0418,2/24/2016 06:00 PM,High Wind Event,Winter Weather,High Winds,"Manhattan, Bronx, Brooklyn, Queens, Staten Island",12 hours,0.01-0.99,0.01-1,,21-40
SW0419,3/28/2016 04:00 PM,High Wind Event,Winter Weather,High Winds,"Queens, Brooklyn",13 hours,0.01-0.99,0.01-1,,21-40
SW0420,4/2/2016 06:02 AM,High Wind Event,Winter Weather,High Winds,"Bronx, Queens, Staten Island","1 day, 6 hours",0.01-0.99,0.01-1,,21-40
SW0421,6/5/2016 02:00 PM,"Heavy Rain, High Wind Event",Thunderstorms,Flash Flooding,Bronx,4 hours,0.01-0.99,0.01-1,,1-20
SW0422,7/14/2016 01:00 PM,"High Wind Event, Extreme Heat Event","Thunderstorms, Extreme Heat","Extreme Heat, High Winds",Queens,"4 days, 7 hours",,0.01-1,,1-20
SW0424,7/21/2016 04:57 PM,"Heavy Rain, High Wind Event, Extreme Heat Event","Extreme Heat, Thunderstorms","High Winds, Extreme Heat, Flash Flooding","Queens, Brooklyn","1 week, 2 days",3-3.99,1-2,,21-40
SW0426,11/20/2016 02:54 AM,High Wind Event,Thunderstorms,High Winds,Queens,"2 days, 7 hours",0.01-0.99,0.01-1,,21-40
SW0428,12/15/2016 10:51 AM,"High Wind, Extreme Cold Event",Winter Weather,"High Winds, Extreme Cold",Queens,"2 hours, 9 minutes",,,,1-20
SW0429,1/7/2017 11:00 AM,"Winter Storm Event ""Winter Storm Helena""",Winter Weather,Heavy Snow,"Queens, Staten Island, Manhattan, Bronx, Brooklyn",9 hours,0.01-0.99,0.01-1,6-11.99,21-40
SW0430,2/9/2017 07:00 AM,"Winter Storm Event ""Winter Storm Niko""",Winter Weather,"Heavy Snow, High Winds","Brooklyn, Bronx, Manhattan, Staten Island, Queens",6 hours,0.01-0.99,0.01-1,6-11.99,21-40
SW0431,3/14/2017 02:00 AM,"March 2017 Nor'easter ""Winter Storm Stella""",Winter Weather,"High Winds, Heavy Snow, Coastal Flooding","Queens, Staten Island, Manhattan, Bronx, Brooklyn","1 day, 18 hours",1-1.99,0.01-1,6-11.99,21-40
